Position: [0.4859576434742059, -0.6429557883620843, 93.07584641641296], Rotation: [-1.169870533333333, 0.8296907333333342, 0.5930408311288585], Velocity: [0.7775322295587299, -1.0287292613793348, -10.74728573373925], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.4989165139668514, -0.66010127605174, 92.8939999875173], Rotation: [-1.1852635666666664, 0.8406077166666676, 0.5930408311288585], Velocity: [0.7877629167897658, -1.0422651727132735, -10.888697388130556], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.5120458959133475, -0.6774723622636278, 92.70979669771513], Rotation: [-1.2006565999999999, 0.8515247000000009, 0.5930408311288585], Velocity: [0.7979936040208018, -1.055801084047212, -11.030109042521861], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.5253457893136941, -0.6950690469977481, 92.52323654700643], Rotation: [-1.2160496333333333, 0.8624416833333343, 0.5930408311288585], Velocity: [0.8082242912518377, -1.0693369953811507, -11.171520696913166], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.5388161941678914, -0.7128913302541006, 92.33431953539122], Rotation: [-1.2314426666666667, 0.8733586666666676, 0.5930408311288585], Velocity: [0.8184549784828736, -1.0828729067150893, -11.312932351304472], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.5524571104759393, -0.7309392120326854, 92.14304566286947], Rotation: [-1.2468357, 0.884275650000001, 0.5930408311288585], Velocity: [0.8286856657139096, -1.096408818049028, -11.454344005695777], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.5662685382378377, -0.7492126923335025, 91.9494149294412], Rotation: [-1.2622287333333335, 0.8951926333333343, 0.5930408311288585], Velocity: [0.8389163529449455, -1.1099447293829665, -11.595755660087082], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.5802504774535868, -0.767711771156552, 91.75342733510642], Rotation: [-1.277621766666667, 0.9061096166666677, 0.5930408311288585], Velocity: [0.8491470401759814, -1.1234806407169051, -11.737167314478388], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.5944029281231865, -0.7864364485018337, 91.55508287986511], Rotation: [-1.2930148000000004, 0.917026600000001, 0.5930408311288585], Velocity: [0.8593777274070173, -1.1370165520508437, -11.878578968869693], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.6087258902466368, -0.8053867243693478, 91.35438156371728], Rotation: [-1.308403766666667, 0.9055440166666677, 0.5930408311288585], Velocity: [0.8145180171975093, -1.0776941296617955, -11.951772896100948], Thrust Rotation: (-0.923338, -0.688955), Thrust Magnitude: 0.715537
Position: [0.6223011905332619, -0.8233482931970444, 91.15246034878227], Rotation: [-1.3237927333333337, 0.8940614333333344, 0.5930408311288585], Velocity: [0.7696583069880012, -1.0183717072727472, -12.024966823332203], Thrust Rotation: (-0.923338, -0.688955), Thrust Magnitude: 0.715537
